type,t_ms,roll_deg,roll_ref_deg,gx_dps,gx_ref_dps,omega_ref,omega_l,omega_r
DATA,124064,1.293,0.820,-15.811,-1.655,-2.911,-2.789,-2.849
DATA,124084,1.447,0.820,-12.152,-2.196,-2.896,-2.605,-2.730
DATA,124104,1.312,0.820,-16.481,-1.722,-2.907,-2.630,-2.638
DATA,124124,1.524,0.820,-20.506,-2.466,-2.856,-2.774,-2.687
DATA,124144,1.379,0.820,-21.725,-1.957,-2.755,-2.768,-2.680
DATA,124164,1.167,0.820,-18.250,-1.214,-2.619,-2.661,-2.551
DATA,124184,0.935,0.820,-24.408,-0.402,-2.417,-2.522,-2.563
DATA,124204,0.586,0.820,-23.189,0.818,-2.160,-2.305,-2.239
DATA,124224,0.267,0.820,-24.042,1.934,-1.859,-2.102,-1.964
DATA,124244,-0.110,0.820,-22.030,3.255,-1.524,-1.904,-1.995
DATA,124264,-0.383,0.820,-15.323,4.209,-1.239,-1.663,-1.740
DATA,124284,-0.582,0.820,-8.615,4.907,-0.920,-1.015,-1.272
DATA,124304,-0.562,0.820,-12.457,4.837,-0.728,-1.236,-1.171
DATA,124324,-0.681,0.820,-3.676,5.253,-0.448,-0.849,-0.718
DATA,124344,-0.372,0.820,8.519,4.171,-0.410,-0.385,-0.356
DATA,124364,-0.167,0.820,-3.372,3.453,-0.356,-0.248,-0.322
DATA,124384,-0.228,0.820,-9.713,3.669,-0.195,-0.214,-0.322
DATA,124404,-0.536,0.820,-26.786,4.747,0.160,-0.577,-0.250
DATA,124424,-1.035,0.820,-23.006,6.494,0.667,-0.561,-0.184
DATA,124444,-1.426,0.820,-23.372,7.861,1.189,0.000,0.000
DATA,124464,-1.989,0.820,-28.555,9.832,1.860,0.000,0.584
DATA,124484,-2.648,0.820,-20.567,12.137,2.644,1.960,1.296
DATA,124504,-2.623,0.820,16.263,12.050,2.972,2.194,1.811
DATA,124524,-2.247,0.820,22.665,10.734,3.067,2.342,2.475
DATA,124544,-1.804,0.820,22.543,9.185,3.099,2.393,2.280
DATA,124564,-1.353,0.820,32.909,7.607,2.968,2.609,2.630
DATA,124584,-0.851,0.820,25.958,5.848,2.813,2.496,2.615
DATA,124604,-0.265,0.820,14.860,3.798,2.660,2.430,2.590
DATA,124624,-0.033,0.820,17.360,2.985,2.490,2.597,2.541
DATA,124644,0.141,0.820,10.348,2.378,2.353,2.463,2.433
DATA,124664,-0.035,0.820,4.860,2.991,2.273,2.117,2.036
DATA,124684,-0.072,0.820,8.824,3.121,2.200,2.326,2.096
DATA,124704,-0.193,0.820,14.311,3.544,2.118,2.357,2.069
DATA,124724,-0.347,0.820,11.872,4.084,2.060,2.196,2.042
DATA,124744,-0.564,0.820,6.933,4.845,2.067,2.108,2.056
DATA,124764,-0.512,0.820,17.543,4.662,1.988,2.104,2.229
DATA,124784,-0.419,0.820,25.775,4.337,1.742,1.897,1.846
DATA,124804,-0.080,0.820,31.750,3.151,1.433,1.653,1.824
DATA,124824,0.090,0.820,24.677,2.553,1.135,1.217,1.400
DATA,124844,0.670,0.820,28.946,0.526,0.668,1.464,1.380
DATA,124864,0.910,0.820,19.494,-0.315,0.301,0.484,0.649
DATA,124884,1.358,0.820,20.287,-1.882,-0.174,0.286,0.637
DATA,124904,1.559,0.820,14.372,-2.587,-0.566,0.203,0.586
DATA,124924,1.852,0.820,23.153,-3.611,-1.060,0.158,0.319
DATA,124944,2.283,0.820,26.689,-5.121,-1.707,0.000,0.000
DATA,124964,2.643,0.820,13.397,-6.379,-2.253,-1.431,-1.163
DATA,124984,2.848,0.820,-5.079,-7.096,-2.751,-1.772,-1.692
DATA,125004,2.958,0.820,-6.725,-7.483,-3.059,-2.195,-2.395
DATA,125024,2.718,0.820,-17.701,-6.645,-3.209,-2.665,-2.788
DATA,125044,2.434,0.820,-21.786,-5.647,-3.292,-2.908,-2.851
DATA,125064,2.193,0.820,-20.201,-4.807,-3.269,-2.945,-3.104
DATA,125084,1.946,0.820,-23.189,-3.940,-3.234,-3.031,-2.951
DATA,125104,1.857,0.820,-26.542,-3.630,-3.141,-3.097,-3.082
DATA,125124,1.517,0.820,-30.323,-2.438,-2.949,-2.976,-3.107
DATA,125144,1.190,0.820,-31.359,-1.295,-2.710,-2.811,-2.953
DATA,125164,0.734,0.820,-30.384,0.302,-2.446,-2.673,-2.756
DATA,125184,0.393,0.820,-19.652,1.494,-2.146,-2.292,-2.393
DATA,125204,-0.103,0.820,-19.286,3.232,-1.836,-2.039,-2.061
DATA,125224,-0.200,0.820,-15.933,3.569,-1.533,-2.095,-1.655
DATA,125244,-0.500,0.820,-18.250,4.621,-1.181,-1.652,-1.729
DATA,125264,-0.463,0.820,1.141,4.492,-0.997,-1.272,-1.152
DATA,125284,-0.248,0.820,1.750,3.738,-0.913,-0.741,-1.125
DATA,125304,-0.220,0.820,-7.945,3.638,-0.730,-1.244,-1.005
DATA,125324,-0.224,0.820,-1.908,3.653,-0.575,-0.627,-0.869
DATA,125344,-0.022,0.820,5.470,2.948,-0.592,-0.331,-0.699
DATA,125364,0.168,0.820,-5.262,2.283,-0.601,-0.275,-0.350
DATA,125384,-0.139,0.820,-28.189,3.358,-0.289,-1.408,-0.336
DATA,125404,-0.536,0.820,-8.859,4.745,0.030,-0.843,-0.336
DATA,125424,-0.584,0.820,-5.811,4.915,0.237,-0.531,-0.240
DATA,125444,-0.689,0.820,-12.030,5.281,0.507,-0.302,0.000
DATA,125464,-0.946,0.820,-17.030,6.181,0.882,0.000,0.000
DATA,125484,-1.356,0.820,-21.481,7.615,1.371,0.630,0.000
DATA,125504,-1.693,0.820,-19.774,8.794,1.924,1.156,0.223
DATA,125524,-1.666,0.820,6.019,8.702,2.294,1.536,1.144
DATA,125544,-1.593,0.820,21.324,8.445,2.342,2.035,1.818
DATA,125564,-1.423,0.820,15.043,7.850,2.350,1.869,2.001
DATA,125584,-0.959,0.820,17.726,6.225,2.319,1.888,1.725
DATA,125604,-0.718,0.820,29.311,5.383,2.183,2.241,1.909
DATA,125624,-0.281,0.820,19.494,3.853,1.942,2.100,2.034
DATA,125644,-0.059,0.820,16.750,3.075,1.784,1.626,1.764
DATA,125664,0.064,0.820,8.153,2.647,1.660,1.715,1.450
DATA,125684,0.047,0.820,10.897,2.707,1.609,1.742,1.841
DATA,125704,0.090,0.820,3.824,2.554,1.527,1.648,1.595
DATA,125724,0.058,0.820,11.080,2.668,1.454,1.679,1.458
DATA,125744,-0.031,0.820,11.567,2.978,1.409,1.337,1.532
DATA,125764,0.122,0.820,8.275,2.444,1.270,1.319,1.264
DATA,125784,0.128,0.820,16.994,2.424,1.137,0.939,1.005
DATA,125804,0.421,0.820,11.445,1.397,0.917,1.382,1.317
DATA,125824,0.097,0.820,-6.055,2.531,0.969,0.866,0.739
DATA,125844,-0.164,0.820,10.409,3.442,0.965,1.351,1.276
DATA,125864,0.013,0.820,10.348,2.825,0.842,1.193,1.041
DATA,125884,-0.064,0.820,-1.237,3.094,0.824,0.441,0.472
DATA,125904,-0.319,0.820,3.763,3.988,0.907,0.291,0.283
DATA,125924,-0.104,0.820,30.897,3.235,0.694,1.472,0.987
DATA,125944,0.545,0.820,31.994,0.961,0.222,0.564,0.959
DATA,125964,0.914,0.820,25.348,-0.327,-0.206,0.312,0.405
DATA,125984,0.962,0.820,20.775,-0.498,-0.597,0.216,0.256
DATA,126004,1.573,0.820,30.592,-2.634,-1.161,0.165,0.000
DATA,126024,2.254,0.820,25.348,-5.020,-1.803,0.000,0.000
DATA,126044,2.623,0.820,18.458,-6.310,-2.402,-1.394,-1.270
DATA,126064,3.136,0.820,-0.079,-8.107,-2.936,-1.725,-1.518
DATA,126084,3.100,0.820,-14.347,-7.981,-3.253,-2.554,-2.067
DATA,126104,2.861,0.820,-25.506,-7.144,-3.372,-2.877,-2.709
DATA,126124,2.405,0.820,-30.689,-5.549,-3.346,-3.013,-2.983
DATA,126144,1.939,0.820,-37.823,-3.915,-3.163,-3.030,-3.066
DATA,126164,1.545,0.820,-38.859,-2.538,-2.915,-2.995,-3.004
DATA,126184,1.014,0.820,-30.933,-0.679,-2.616,-2.655,-2.791
DATA,126204,0.630,0.820,-25.506,0.665,-2.327,-2.494,-2.479
DATA,126224,0.427,0.820,-23.128,1.376,-2.059,-2.382,-2.340
DATA,126244,0.189,0.820,-16.603,2.208,-1.818,-1.904,-2.229
DATA,126264,-0.134,0.820,-18.859,3.339,-1.542,-1.906,-1.834
DATA,126284,-0.150,0.820,-13.798,3.395,-1.337,-1.849,-1.639
DATA,126304,-0.378,0.820,-5.506,4.193,-1.079,-1.212,-1.320
DATA,126324,-0.120,0.820,6.080,3.289,-1.075,-0.981,-1.348
DATA,126344,-0.302,0.820,-1.908,3.928,-0.926,-0.990,-0.910
DATA,126364,-0.213,0.820,6.019,3.615,-0.946,-0.835,-1.256
DATA,126384,-0.333,0.820,-4.652,4.034,-0.776,-1.270,-0.506
DATA,126404,-0.329,0.820,15.714,4.021,-0.770,-0.632,-0.294
DATA,126424,0.209,0.820,17.604,2.137,-1.032,-0.374,-0.207
DATA,126444,0.578,0.820,-2.701,0.847,-1.197,-0.854,-0.187
DATA,126464,0.481,0.820,-9.225,1.188,-1.143,-1.172,-2.025
DATA,126484,-0.044,0.820,-14.835,3.025,-0.928,-1.226,-1.082
DATA,126504,-0.180,0.820,-13.981,3.501,-0.652,-0.891,-1.226
DATA,126524,-0.226,0.820,4.494,3.660,-0.556,-0.727,-0.746
DATA,126544,0.121,0.820,10.714,2.446,-0.664,-0.357,-0.361
DATA,126564,0.350,0.820,4.860,1.644,-0.781,-0.236,-0.238
DATA,126584,0.394,0.820,-18.981,1.492,-0.706,-1.413,-0.185
DATA,126604,-0.583,0.820,-36.237,4.910,-0.231,-0.922,-1.476
DATA,126624,-1.013,0.820,-9.652,6.414,0.228,-0.399,-0.550
DATA,126644,-0.998,0.820,-6.481,6.362,0.516,-0.254,-0.307
DATA,126664,-1.064,0.820,-7.091,6.593,0.797,-0.186,-0.213
DATA,126684,-1.158,0.820,-4.286,6.924,1.090,0.000,-0.164
DATA,126704,-1.184,0.820,-1.664,7.014,1.356,0.666,0.000
DATA,126724,-1.094,0.820,4.677,6.698,1.484,0.888,0.836
DATA,126744,-0.944,0.820,0.531,6.175,1.620,1.262,0.612
DATA,126764,-0.964,0.820,12.604,6.245,1.762,1.080,1.379
DATA,126784,-0.629,0.820,21.263,5.072,1.662,1.436,1.519
