type,t_ms,roll_deg,roll_ref_deg,gx_dps,gx_ref_dps,omega_ref,omega_l,omega_r
DATA,32004,1.278,0.820,4.004,-1.603,-0.796,0.139,0.193
DATA,32024,1.288,0.820,-5.874,-1.640,-0.936,0.000,0.000
DATA,32044,1.159,0.820,5.772,-1.187,-1.057,-0.795,-0.705
DATA,32064,1.670,0.820,6.565,-2.977,-1.425,-0.372,-0.633
DATA,32084,1.710,0.820,-19.655,-3.116,-1.537,-1.284,-0.968
DATA,32104,1.152,0.820,-15.752,-1.162,-1.364,-1.441,-0.796
DATA,32124,1.342,0.820,6.382,-1.826,-1.540,-0.541,-0.990
DATA,32144,1.525,0.820,-29.045,-2.466,-1.529,-1.445,-1.452
DATA,32164,0.600,0.820,-12.459,0.772,-1.299,-1.402,-1.166
DATA,32184,0.790,0.820,-6.667,0.106,-1.330,-0.616,-1.170
DATA,32204,0.139,0.820,-24.776,2.384,-0.972,-1.512,-0.750
DATA,32224,-0.143,0.820,-4.533,3.370,-0.762,-0.831,-0.668
DATA,32244,0.003,0.820,12.480,2.860,-0.797,-0.391,-0.776
DATA,32264,0.134,0.820,-20.874,2.400,-0.747,-1.153,-0.551
DATA,32284,-0.253,0.820,-2.276,3.755,-0.538,-0.805,-0.429
DATA,32304,0.109,0.820,17.297,2.487,-0.662,-0.403,-0.266
DATA,32324,0.445,0.820,16.992,1.314,-0.908,-0.276,-0.193
DATA,32344,1.236,0.820,-8.923,-1.455,-1.127,-1.732,-1.567
DATA,32364,0.322,0.820,-29.228,1.742,-0.729,-0.616,-1.106
DATA,32384,-0.047,0.820,-1.362,3.034,-0.505,-0.616,-0.661
DATA,32404,0.163,0.820,18.333,2.299,-0.683,-0.338,-0.341
DATA,32424,0.447,0.820,20.041,1.305,-0.975,-1.333,-0.229
DATA,32444,0.894,0.820,10.955,-0.259,-1.244,-0.701,-1.876
DATA,32464,1.267,0.820,-5.874,-1.565,-1.298,-1.610,-0.870
DATA,32484,0.379,0.820,-28.252,1.545,-0.965,-1.132,-1.881
DATA,32504,0.256,0.820,0.650,1.974,-0.805,-0.650,-1.034
DATA,32524,0.605,0.820,18.577,0.752,-1.046,-0.360,-0.416
DATA,32544,1.460,0.820,1.504,-2.240,-1.334,-1.696,-0.283
DATA,32564,0.776,0.820,-39.289,0.152,-1.077,-0.746,-1.740
DATA,32584,0.440,0.820,-29.472,1.330,-0.716,-1.699,-1.229
DATA,32604,-0.287,0.820,-13.191,3.873,-0.323,-0.511,-0.900
DATA,32624,-0.207,0.820,2.175,3.593,-0.248,-0.294,-0.423
DATA,32644,-0.124,0.820,-4.167,3.306,-0.158,-0.209,-0.264
DATA,32664,-0.171,0.820,-8.496,3.468,-0.003,-0.209,-0.192
DATA,32684,-0.318,0.820,-12.764,3.982,0.228,-0.209,-0.150
DATA,32704,-0.585,0.820,-16.484,4.917,0.545,-0.209,-0.124
DATA,32724,-1.009,0.820,-20.386,6.403,0.965,0.000,-0.105
DATA,32744,-1.541,0.820,-19.655,8.263,1.497,0.431,0.000
DATA,32764,-1.915,0.820,9.675,9.574,1.888,1.386,1.221
DATA,32784,-1.868,0.820,6.077,9.408,2.127,1.094,1.290
DATA,32804,-1.731,0.820,9.980,8.929,2.303,1.690,1.136
DATA,32824,-1.662,0.820,29.431,8.687,2.325,1.728,2.236
DATA,32844,-1.268,0.820,31.931,7.307,2.195,2.030,1.961
DATA,32864,-0.793,0.820,26.016,5.645,1.990,1.774,1.643
DATA,32884,-0.267,0.820,24.004,3.804,1.700,1.597,1.622
DATA,32904,0.042,0.820,27.846,2.724,1.420,1.525,1.561
DATA,32924,0.560,0.820,12.663,0.911,1.112,0.895,1.321
DATA,32944,0.502,0.820,22.906,1.115,0.936,1.305,1.007
DATA,32964,1.021,0.820,22.480,-0.703,0.519,0.765,1.263
DATA,32984,1.160,0.820,-2.886,-1.190,0.282,0.365,0.467
DATA,33004,0.846,0.820,-4.776,-0.090,0.272,0.241,0.281
DATA,33024,0.720,0.820,-1.728,0.352,0.243,0.179,0.200
DATA,33044,0.603,0.820,0.955,0.758,0.191,0.177,0.156
DATA,33064,0.536,0.820,6.443,0.995,0.107,0.684,0.127
DATA,33084,0.825,0.820,10.528,-0.017,-0.096,0.361,0.108
DATA,33104,0.997,0.820,10.224,-0.620,-0.333,0.238,0.093
DATA,33124,1.183,0.820,10.711,-1.272,-0.603,0.178,0.082
DATA,33144,1.358,0.820,10.224,-1.883,-0.905,0.000,0.074
DATA,33164,1.428,0.820,-7.459,-2.127,-1.140,-1.145,0.067
DATA,33184,1.369,0.820,4.004,-1.922,-1.306,-0.981,-1.295
DATA,33204,1.621,0.820,19.492,-2.803,-1.682,-0.412,-0.508
DATA,33224,2.070,0.820,-9.106,-4.375,-2.060,-1.409,-0.383
DATA,33244,1.534,0.820,-37.459,-2.498,-1.952,-1.908,-2.174
DATA,33264,0.889,0.820,-16.240,-0.241,-1.740,-1.414,-1.685
DATA,33284,0.735,0.820,-6.423,0.297,-1.710,-1.463,-1.459
DATA,33304,0.566,0.820,-19.350,0.888,-1.662,-1.987,-1.567
DATA,33324,0.220,0.820,-9.837,2.099,-1.439,-1.323,-1.526
DATA,33344,0.121,0.820,8.882,2.447,-1.467,-1.732,-1.257
DATA,33364,0.339,0.820,11.565,1.685,-1.529,-0.807,-0.851
DATA,33384,0.457,0.820,-27.094,1.270,-1.453,-1.695,-1.873
DATA,33404,0.392,0.820,-0.874,1.499,-1.313,-1.062,-1.270
DATA,33424,0.690,0.820,-13.252,0.456,-1.285,-1.260,-1.300
DATA,33444,0.964,0.820,-0.752,-0.503,-1.346,-1.027,-1.046
DATA,33464,0.401,0.820,-27.825,1.466,-1.057,-1.506,-1.612
DATA,33484,0.212,0.820,-3.740,2.127,-0.899,-0.644,-0.952
