type,t_ms,roll_deg,roll_ref_deg,gx_dps,gx_ref_dps,omega_ref,omega_l,omega_r
DATA,37644,-0.461,0.820,-17.791,4.484,-0.703,-1.121,-0.905
DATA,37664,-1.130,0.820,-3.401,6.823,-0.466,-0.903,-0.725
DATA,37684,-0.858,0.820,18.001,5.871,-0.423,-0.543,-0.387
DATA,37704,-0.446,0.820,14.404,4.430,-0.479,-0.306,-0.250
DATA,37724,-0.114,0.820,0.562,3.269,-0.495,-0.235,-1.293
DATA,37744,-0.319,0.820,-17.974,3.986,-0.325,-0.723,-0.671
DATA,37764,-0.508,0.820,-1.572,4.648,-0.092,-0.669,-0.343
DATA,37784,-0.442,0.820,6.782,4.418,-0.059,-0.539,-0.230
DATA,37804,-0.333,0.820,4.282,4.036,-0.031,-0.305,-0.173
DATA,37824,-0.260,0.820,1.965,3.779,0.010,-0.213,-0.139
DATA,37844,-0.229,0.820,-0.901,3.672,0.078,-0.163,-0.116
DATA,37864,-0.301,0.820,-3.279,3.922,0.174,-0.132,-0.099
DATA,37884,-0.398,0.820,-5.169,4.261,0.306,-0.111,-0.087
DATA,37904,-0.539,0.820,-6.877,4.757,0.475,-0.096,-0.077
DATA,37924,-0.723,0.820,-8.218,5.400,0.685,0.000,-0.070
DATA,37944,-1.013,0.820,-8.584,6.414,0.942,0.642,-0.063
DATA,37964,-1.164,0.820,1.965,6.944,1.170,1.056,0.000
DATA,37984,-1.018,0.820,6.111,6.435,1.256,0.803,0.968
DATA,38004,-1.013,0.820,6.233,6.414,1.377,0.621,0.898
DATA,38024,-0.769,0.820,18.977,5.562,1.346,1.238,1.022
DATA,38044,-0.430,0.820,11.538,4.376,1.275,1.167,0.716
DATA,38064,-0.527,0.820,16.782,4.714,1.279,0.806,0.831
DATA,38084,0.081,0.820,37.575,2.588,0.993,1.372,1.226
DATA,38104,0.654,0.820,18.916,0.582,0.660,0.749,0.975
DATA,38124,0.714,0.820,-3.096,0.370,0.536,0.718,0.609
DATA,38144,0.560,0.820,-6.633,0.912,0.533,0.357,0.609
DATA,38164,0.364,0.820,-4.621,1.596,0.554,0.236,0.331
DATA,38184,0.384,0.820,20.989,1.527,0.433,1.198,0.225
DATA,38204,0.742,0.820,7.818,0.275,0.238,1.099,0.170
DATA,38224,0.793,0.820,-2.365,0.095,0.154,0.501,0.137
DATA,38244,0.750,0.820,-1.267,0.245,0.087,0.291,0.114
DATA,38264,0.721,0.820,-0.474,0.347,0.023,0.206,0.098
DATA,38284,0.700,0.820,0.196,0.419,-0.045,0.159,0.086
DATA,38304,0.707,0.820,0.562,0.395,-0.119,0.129,0.077
DATA,38324,0.739,0.820,1.294,0.284,-0.201,0.109,0.069
DATA,38344,0.764,0.820,2.026,0.197,-0.299,0.095,0.063
DATA,38364,0.808,0.820,2.392,0.042,-0.407,0.083,0.058
DATA,38384,0.871,0.820,3.062,-0.178,-0.527,0.074,0.053
DATA,38404,0.964,0.820,3.550,-0.505,-0.666,0.000,0.050
DATA,38424,1.031,0.820,4.709,-0.739,-0.826,-0.535,0.046
DATA,38444,1.140,0.820,5.257,-1.121,-1.003,-0.436,0.000
DATA,38464,1.177,0.820,-3.523,-1.248,-1.152,-0.310,-1.039
DATA,38484,1.122,0.820,-9.804,-1.056,-1.218,-0.739,-0.426
DATA,38504,0.806,0.820,-18.706,0.050,-1.145,-1.471,-0.370
DATA,38524,0.282,0.820,-16.084,1.882,-0.947,-0.641,-1.314
DATA,38544,0.075,0.820,-11.816,2.609,-0.891,-0.743,-0.490
DATA,38564,-0.244,0.820,-9.255,3.725,-0.666,-1.152,-0.446
DATA,38584,-0.213,0.820,7.209,3.615,-0.618,-0.579,-0.376
DATA,38604,0.011,0.820,8.123,2.830,-0.672,-0.317,-0.245
DATA,38624,0.249,0.820,6.355,1.998,-0.743,-0.245,-0.181
DATA,38644,0.141,0.820,-13.767,2.377,-0.623,-0.871,-0.144
DATA,38664,0.147,0.820,4.892,2.356,-0.584,-0.622,-0.119
DATA,38684,0.493,0.820,4.892,1.145,-0.677,-0.624,-0.102
DATA,38704,0.561,0.820,-1.999,0.905,-0.708,-0.449,-0.092
DATA,38724,0.228,0.820,-35.718,2.071,-0.487,-0.291,-2.002
DATA,38744,-0.672,0.820,-41.023,5.220,0.026,-1.106,-0.953
DATA,38764,-1.051,0.820,-6.267,6.548,0.409,-0.461,-0.607
DATA,38784,-0.997,0.820,-4.865,6.358,0.632,-0.277,-0.324
DATA,38804,-1.089,0.820,-8.218,6.680,0.894,-0.198,-0.221
