type,t_ms,roll_deg,roll_ref_deg,gx_dps,gx_ref_dps,omega_ref,omega_l,omega_r,speed_fb_mps,speed_corr_deg
DATA,174824,0.835,0.956,34.900,0.424,0.291,0.766,0.641,0.0100,0.176
DATA,174844,1.170,0.956,15.022,-0.751,-0.108,0.393,0.875,0.0082,0.176
DATA,174864,1.342,0.780,10.388,-1.968,-0.420,0.252,0.436,0.0073,0.000
DATA,174884,1.567,0.780,15.876,-2.753,-0.793,0.185,0.269,0.0056,0.000
DATA,174904,1.917,0.780,11.180,-3.980,-1.226,0.000,0.000,0.0036,0.000
DATA,174924,1.873,0.780,11.302,-3.825,-1.583,-0.992,-0.783,0.0006,0.000
DATA,174944,2.372,0.780,2.949,-5.571,-2.065,-0.791,-1.241,-0.0032,-0.000
DATA,174964,2.049,0.780,-16.015,-4.441,-2.175,-1.645,-1.798,-0.0051,-0.000
DATA,174984,1.795,0.780,-14.978,-3.554,-2.262,-1.809,-1.993,-0.0074,-0.000
DATA,175004,1.637,0.604,-14.551,-3.616,-2.314,-2.024,-2.085,-0.0098,-0.176
DATA,175024,1.427,0.604,-13.576,-2.880,-2.273,-1.997,-1.804,-0.0116,-0.176
DATA,175044,1.384,0.604,-16.015,-2.729,-2.219,-2.035,-2.150,-0.0136,-0.176
DATA,175064,1.611,0.604,-19.186,-3.524,-2.222,-1.967,-2.050,-0.0155,-0.176
DATA,175084,1.887,0.604,-29.795,-4.491,-2.196,-2.194,-1.968,-0.0165,-0.176
DATA,175104,1.474,0.604,-29.673,-3.044,-1.930,-1.926,-1.971,-0.0157,-0.176
DATA,175124,0.874,0.604,-38.820,-0.944,-1.562,-1.620,-1.909,-0.0143,-0.176
DATA,175144,0.353,0.604,-41.442,0.879,-1.151,-1.418,-1.652,-0.0126,-0.176
DATA,175164,-0.396,0.604,-28.820,3.501,-0.629,-0.694,-0.738,-0.0101,-0.176
DATA,175184,-0.903,0.604,-14.185,5.274,-0.214,-0.463,-0.439,-0.0081,-0.176
DATA,175204,-1.127,0.780,-11.990,6.673,0.155,-0.463,-0.608,-0.0070,-0.000
DATA,175224,-1.255,0.780,-5.405,7.124,0.490,0.000,-0.579,-0.0062,-0.000
DATA,175244,-1.324,0.780,-8.759,7.364,0.821,0.000,0.000,-0.0051,-0.000
DATA,175264,-1.512,0.780,-9.368,8.023,1.209,0.000,0.000,-0.0035,-0.000
DATA,175284,-1.582,0.780,12.034,8.267,1.508,1.271,0.339,-0.0023,-0.000
DATA,175304,-0.925,0.780,15.205,5.968,1.443,0.818,1.399,-0.0019,-0.000
DATA,175324,-0.888,0.780,-17.844,5.840,1.695,0.550,0.638,0.0010,0.000
DATA,175344,-1.215,0.780,14.412,6.981,2.069,1.573,0.787,0.0048,0.000
DATA,175364,-0.380,0.780,25.022,4.059,1.776,1.754,1.884,0.0045,0.000
DATA,175384,-0.277,0.780,-8.576,3.698,1.798,1.294,1.675,0.0075,0.000
DATA,175404,-1.524,0.956,-28.088,8.679,2.327,1.947,1.601,0.0137,0.176
DATA,175424,-1.519,0.956,20.754,8.663,2.367,1.942,2.215,0.0151,0.176
DATA,175444,-1.428,0.956,17.339,8.342,2.335,2.219,2.067,0.0165,0.176
DATA,175464,-1.496,0.956,38.985,8.580,2.301,1.857,2.482,0.0173,0.176
DATA,175484,-1.032,0.956,38.436,6.956,2.019,2.458,2.191,0.0169,0.176
DATA,175504,-0.419,0.956,33.741,4.811,1.642,1.910,1.943,0.0154,0.176
DATA,175524,0.114,0.956,23.802,2.946,1.279,1.336,1.369,0.0145,0.176
DATA,175544,0.475,0.956,33.924,1.682,0.909,1.203,1.102,0.0130,0.176
DATA,175564,1.121,0.956,23.680,-0.577,0.408,0.625,0.823,0.0108,0.176
DATA,175584,1.310,0.956,5.144,-1.238,0.097,0.329,0.000,0.0098,0.176
DATA,175604,1.340,0.956,7.949,-1.345,-0.136,0.224,1.142,0.0093,0.176
DATA,175624,1.459,0.780,12.827,-2.377,-0.461,0.170,0.000,0.0074,0.000
DATA,175644,1.753,0.780,17.949,-3.407,-0.896,0.137,0.000,0.0050,0.000
DATA,175664,2.232,0.780,14.351,-5.080,-1.406,0.000,0.000,0.0025,0.000
DATA,175684,2.287,0.780,6.363,-5.275,-1.780,-1.002,-1.237,-0.0004,-0.000
DATA,175704,2.748,0.780,0.875,-6.888,-2.286,-0.849,-1.273,-0.0042,-0.000
DATA,175724,2.340,0.780,-17.966,-5.460,-2.391,-1.936,-2.024,-0.0060,-0.000
DATA,175744,1.958,0.604,-13.271,-4.737,-2.447,-1.848,-2.146,-0.0081,-0.176
DATA,175764,1.664,0.604,-25.222,-3.710,-2.445,-2.247,-2.198,-0.0102,-0.176
DATA,175784,1.404,0.604,-21.807,-2.800,-2.376,-1.995,-2.010,-0.0120,-0.176
DATA,175804,1.350,0.604,-17.722,-2.609,-2.290,-1.966,-2.125,-0.0138,-0.176
DATA,175824,1.489,0.604,-14.490,-3.097,-2.246,-1.984,-1.842,-0.0156,-0.176
DATA,175844,1.528,0.604,-33.637,-3.233,-2.115,-2.107,-2.077,-0.0160,-0.176
DATA,175864,1.233,0.604,-37.112,-2.201,-1.834,-1.966,-1.972,-0.0153,-0.176
DATA,175884,0.713,0.604,-35.832,-0.382,-1.452,-1.646,-1.382,-0.0138,-0.176
DATA,175904,-0.028,0.604,-33.820,2.212,-0.941,-1.262,-1.481,-0.0117,-0.176
DATA,175924,-0.643,0.604,-18.820,4.364,-0.530,-0.623,-0.587,-0.0099,-0.176
DATA,175944,-0.887,0.604,-8.881,5.219,-0.218,-0.496,-0.319,-0.0089,-0.176
DATA,175964,-1.121,0.780,-12.966,6.655,0.170,-0.496,-0.219,-0.0073,-0.000
DATA,175984,-1.237,0.780,-8.088,7.059,0.517,-0.345,-0.167,-0.0063,-0.000
DATA,176004,-1.412,0.780,-12.905,7.673,0.913,-0.231,-0.135,-0.0049,-0.000
DATA,176024,-1.550,0.780,-6.015,8.154,1.318,0.000,0.000,-0.0035,-0.000
DATA,176044,-1.303,0.780,15.022,7.291,1.477,1.437,1.230,-0.0017,-0.000
DATA,176064,-1.225,0.780,-17.905,7.019,1.754,0.662,0.651,0.0013,0.000
DATA,176084,-1.568,0.780,-6.503,8.218,2.193,1.569,0.349,0.0046,0.000
DATA,176104,-1.047,0.780,36.790,6.396,2.200,1.713,1.565,0.0069,0.000
DATA,176124,-0.606,0.956,11.485,5.466,2.057,1.959,1.986,0.0080,0.176
DATA,176144,-0.983,0.956,-23.576,6.787,2.366,1.895,1.857,0.0132,0.176
DATA,176164,-1.129,0.956,17.522,7.296,2.373,2.325,1.697,0.0150,0.176
DATA,176184,-1.219,0.956,24.046,7.611,2.366,1.963,2.072,0.0167,0.176
DATA,176204,-1.110,0.956,34.290,7.229,2.239,2.068,2.231,0.0172,0.176
DATA,176224,-0.742,0.956,35.936,5.941,1.972,2.245,2.149,0.0170,0.176
DATA,176244,-0.180,0.956,30.449,3.975,1.562,1.885,1.621,0.0155,0.176
DATA,176264,0.231,0.956,22.217,2.535,1.228,1.097,1.464,0.0149,0.176
DATA,176284,0.341,0.956,26.546,2.153,0.993,1.287,1.077,0.0143,0.176
DATA,176304,0.941,0.956,37.827,0.053,0.465,0.939,1.234,0.0115,0.176
DATA,176324,1.400,0.956,4.290,-1.556,0.050,0.399,0.555,0.0100,0.176
DATA,176344,1.236,0.956,4.656,-0.981,-0.164,0.254,0.309,0.0096,0.176
DATA,176364,1.255,0.956,12.522,-1.048,-0.442,0.186,0.215,0.0082,0.176
DATA,176384,1.465,0.780,18.924,-2.398,-0.842,0.147,0.164,0.0059,0.000
DATA,176404,1.797,0.780,13.863,-3.559,-1.286,0.000,0.000,0.0036,0.000
DATA,176424,1.923,0.780,9.778,-4.001,-1.656,-0.991,-1.085,0.0000,0.000
DATA,176444,2.336,0.780,0.266,-5.447,-2.157,-0.878,-1.108,-0.0040,-0.000
DATA,176464,2.000,0.780,-12.295,-4.269,-2.301,-1.711,-1.917,-0.0065,-0.000
DATA,176484,1.792,0.604,-9.978,-4.156,-2.436,-1.910,-2.113,-0.0094,-0.176
DATA,176504,1.663,0.604,-16.503,-3.704,-2.533,-2.138,-2.230,-0.0123,-0.176
DATA,176524,1.542,0.604,-16.137,-3.282,-2.549,-2.156,-2.104,-0.0149,-0.176
DATA,176544,1.733,0.604,-11.320,-3.950,-2.587,-2.321,-2.244,-0.0176,-0.176
DATA,176564,1.881,0.604,-14.003,-4.467,-2.618,-2.305,-2.084,-0.0196,-0.176
DATA,176584,1.688,0.604,-32.173,-3.794,-2.473,-2.389,-2.146,-0.0201,-0.176
DATA,176604,1.213,0.604,-37.539,-2.130,-2.235,-2.017,-2.395,-0.0202,-0.176
DATA,176624,0.542,0.604,-39.673,0.218,-1.858,-1.872,-2.258,-0.0195,-0.176
DATA,176644,-0.137,0.604,-31.076,2.596,-1.379,-1.955,-1.789,-0.0183,-0.176
DATA,176664,-1.162,0.604,-16.381,6.180,-0.868,-0.832,-1.116,-0.0169,-0.176
DATA,176684,-0.849,0.604,-1.381,5.086,-0.786,-1.162,-1.114,-0.0186,-0.176
DATA,176704,-0.966,0.604,-5.588,5.494,-0.525,-0.746,-1.282,-0.0190,-0.176
DATA,176724,-0.773,0.604,28.802,4.819,-0.475,-0.729,-0.453,-0.0204,-0.176
DATA,176744,-0.145,0.428,19.046,2.006,-0.712,-0.440,-0.275,-0.0228,-0.352
DATA,176764,0.519,0.428,4.168,-0.318,-0.930,-0.276,-0.265,-0.0236,-0.352
DATA,176784,0.327,0.604,-32.417,0.971,-0.693,-1.641,-1.581,-0.0219,-0.176
DATA,176804,-0.135,0.604,-14.307,2.586,-0.360,-0.592,-0.811,-0.0202,-0.176
DATA,176824,0.187,0.604,5.754,1.462,-0.366,-0.320,-0.374,-0.0201,-0.176
DATA,176844,0.248,0.604,-6.442,1.247,-0.340,-0.219,-0.244,-0.0189,-0.176
DATA,176864,0.255,0.604,-9.551,1.224,-0.258,-0.183,-0.181,-0.0171,-0.176
DATA,176884,-0.020,0.604,-27.844,2.185,-0.027,-0.697,-0.144,-0.0144,-0.176
DATA,176904,-0.807,0.604,-23.332,4.941,0.472,-0.515,-0.119,-0.0107,-0.176
DATA,176924,-1.218,0.604,-19.246,6.379,0.908,-0.297,-0.102,-0.0082,-0.176
DATA,176944,-1.748,0.780,-10.588,8.849,1.389,0.891,-0.089,-0.0055,-0.000
DATA,176964,-1.828,0.780,11.790,9.128,1.648,1.229,1.083,-0.0038,-0.000
DATA,176984,-1.844,0.780,-3.576,9.183,1.890,1.004,1.115,-0.0017,-0.000
DATA,177004,-1.932,0.780,24.046,9.491,2.060,1.998,0.715,-0.0002,-0.000
DATA,177024,-1.367,0.780,24.412,7.515,1.943,1.404,1.517,-0.0000,-0.000
DATA,177044,-0.900,0.780,39.168,5.879,1.779,1.643,1.704,0.0002,0.000
DATA,177064,-0.335,0.780,23.010,3.902,1.549,1.503,1.457,0.0009,0.000
DATA,177084,0.379,0.780,21.302,1.405,1.211,1.144,1.429,0.0010,0.000
DATA,177104,0.514,0.780,-3.210,0.930,1.126,0.814,0.809,0.0032,0.000
DATA,177124,0.766,0.780,16.729,0.050,0.896,1.175,1.313,0.0039,0.000
DATA,177144,1.176,0.780,-13.454,-1.387,0.761,0.715,0.897,0.0062,0.000
DATA,177164,0.830,0.956,-31.686,0.440,1.017,0.354,0.393,0.0103,0.176
DATA,177184,0.372,0.956,-7.966,2.042,1.328,1.516,0.305,0.0138,0.176
DATA,177204,0.899,0.956,12.827,0.199,1.105,1.234,1.491,0.0150,0.176
DATA,177224,0.981,0.956,-34.551,-0.089,1.168,0.573,0.667,0.0180,0.176
DATA,177244,-0.453,1.132,-52.966,5.547,1.833,2.039,1.946,0.0250,0.352
DATA,177264,-0.998,1.132,2.644,7.453,2.041,1.342,1.558,0.0270,0.352
DATA,177284,-1.294,1.132,3.741,8.491,2.286,2.194,1.905,0.0299,0.352
DATA,177304,-1.452,1.132,17.156,9.043,2.425,2.417,2.518,0.0316,0.352
DATA,177324,-1.281,1.132,24.534,8.444,2.304,2.521,2.516,0.0315,0.352
DATA,177344,-0.755,1.132,25.266,6.602,2.108,2.317,2.353,0.0311,0.352
DATA,177364,-0.245,1.132,20.632,4.820,1.857,2.038,1.883,0.0302,0.352
DATA,177384,0.181,1.132,21.485,3.326,1.596,1.544,1.754,0.0297,0.352
DATA,177404,0.380,1.132,28.436,2.632,1.350,1.810,1.642,0.0293,0.352
DATA,177424,0.528,1.132,16.790,2.113,1.068,1.173,1.186,0.0280,0.352
DATA,177444,0.686,1.132,19.473,1.558,0.763,1.120,1.070,0.0264,0.352
DATA,177464,0.710,1.132,-3.820,1.477,0.589,0.750,0.662,0.0257,0.352
DATA,177484,0.376,1.132,1.180,2.646,0.595,0.362,0.340,0.0250,0.352
DATA,177504,0.292,1.132,9.717,2.938,0.509,0.301,0.229,0.0229,0.352
DATA,177524,0.897,0.956,35.815,0.206,0.072,0.883,0.172,0.0191,0.176
DATA,177544,1.513,0.956,24.778,-1.952,-0.498,0.000,0.138,0.0145,0.176
DATA,177564,2.049,0.956,26.668,-3.825,-1.055,0.000,0.116,0.0105,0.176
DATA,177584,2.819,0.780,20.388,-7.135,-1.729,-0.327,0.000,0.0067,0.000
DATA,177604,3.239,0.780,0.754,-8.608,-2.271,-1.806,-1.248,0.0022,0.000
DATA,177624,3.553,0.780,-6.929,-9.705,-2.760,-1.609,-1.382,-0.0012,-0.000
DATA,177644,3.277,0.780,-36.137,-8.740,-2.882,-2.312,-2.040,-0.0025,-0.000
DATA,177664,2.702,0.780,-42.112,-6.728,-2.833,-2.350,-2.021,-0.0034,-0.000
DATA,177684,2.001,0.780,-41.381,-4.272,-2.639,-2.278,-2.424,-0.0041,-0.000
DATA,177704,1.296,0.780,-39.795,-1.807,-2.329,-2.309,-2.297,-0.0045,-0.000
DATA,177724,0.660,0.780,-26.137,0.419,-1.991,-2.158,-2.047,-0.0053,-0.000
DATA,177744,0.212,0.780,-25.710,1.987,-1.633,-1.567,-1.415,-0.0056,-0.000
DATA,177764,-0.232,0.780,-24.612,3.543,-1.265,-1.514,-1.657,-0.0062,-0.000
DATA,177784,-0.239,0.780,-6.929,3.567,-0.973,-0.786,-0.849,-0.0065,-0.000
DATA,177804,0.410,0.604,-14.795,0.678,-0.955,-1.269,-0.967,-0.0079,-0.176
DATA,177824,0.176,0.604,-6.929,1.497,-0.757,-1.151,-0.962,-0.0081,-0.176
DATA,177844,0.552,0.604,2.888,0.182,-0.828,-0.435,-0.405,-0.0093,-0.176
DATA,177864,0.867,0.604,-20.100,-0.920,-0.829,-1.234,-0.260,-0.0088,-0.176
DATA,177884,0.212,0.780,-39.490,1.989,-0.311,-1.230,-0.858,-0.0051,-0.000
DATA,177904,-0.442,0.780,-24.246,4.276,0.144,-0.446,-1.112,-0.0032,-0.000
DATA,177924,-0.964,0.780,-35.588,6.105,0.712,-0.273,0.000,0.0001,0.000
DATA,177944,-1.674,0.780,-29.307,8.588,1.411,0.000,0.000,0.0040,0.000
DATA,177964,-2.026,0.780,-1.807,9.822,1.935,1.076,0.344,0.0068,0.000
DATA,177984,-2.333,0.956,14.656,11.511,2.317,1.705,1.543,0.0094,0.176
DATA,178004,-2.271,0.956,12.217,11.293,2.552,1.873,1.514,0.0114,0.176
DATA,178024,-2.182,0.956,23.376,10.984,2.706,2.075,2.031,0.0130,0.176
DATA,178044,-1.886,0.956,29.595,9.946,2.724,2.172,2.426,0.0142,0.176
DATA,178064,-1.379,0.956,35.449,8.173,2.597,2.253,2.457,0.0149,0.176
DATA,178084,-0.778,0.956,31.058,6.067,2.410,2.260,2.459,0.0159,0.176
DATA,178104,-0.248,0.956,16.180,4.212,2.239,2.174,1.968,0.0173,0.176
DATA,178124,0.038,0.956,7.278,3.211,2.063,2.127,2.020,0.0189,0.176
DATA,178144,0.140,0.956,13.924,2.856,1.880,1.914,1.750,0.0202,0.176
DATA,178164,-0.256,0.956,7.217,4.240,1.879,1.849,1.550,0.0224,0.176
DATA,178184,-0.449,1.132,12.217,5.532,1.879,1.880,1.692,0.0237,0.352
DATA,178204,-0.066,1.132,19.168,4.193,1.665,1.669,1.993,0.0236,0.352
DATA,178224,0.373,1.132,24.656,2.657,1.415,1.541,1.713,0.0235,0.352
DATA,178244,0.603,1.132,2.888,1.852,1.241,1.372,1.183,0.0240,0.352
DATA,178264,1.195,1.132,7.583,-0.221,0.995,1.252,1.277,0.0241,0.352
DATA,178284,1.206,1.132,-22.905,-0.262,1.049,0.724,0.717,0.0264,0.352
DATA,178304,1.421,1.132,-17.234,-1.012,1.050,1.304,0.755,0.0281,0.352
DATA,178324,1.643,1.132,-12.356,-1.792,1.050,1.039,1.186,0.0305,0.352
DATA,178344,1.501,1.132,-14.064,-1.291,1.131,0.662,0.732,0.0327,0.352
