type,t_ms,roll_deg,roll_ref_deg,gx_dps,gx_ref_dps,omega_ref,omega_l,omega_r,speed_fb_mps,speed_corr_deg
DATA,172544,1.066,0.956,22.949,-0.387,-0.122,0.579,0.187,0.0125,0.176
DATA,172564,1.554,0.956,20.266,-2.093,-0.587,0.327,0.000,0.0094,0.176
DATA,172584,1.917,0.780,18.741,-3.980,-1.077,0.223,0.000,0.0066,0.000
DATA,172604,2.390,0.780,12.583,-5.634,-1.613,0.000,-0.341,0.0040,0.000
DATA,172624,2.255,0.780,-5.405,-5.162,-1.872,-1.341,-1.122,0.0011,0.000
DATA,172644,2.573,0.780,21.058,-6.275,-2.365,-1.146,-0.684,-0.0029,-0.000
DATA,172664,2.647,0.780,-23.210,-6.535,-2.614,-2.304,-2.591,-0.0054,-0.000
DATA,172684,1.728,0.780,-41.198,-3.316,-2.365,-2.135,-2.093,-0.0054,-0.000
DATA,172704,1.093,0.780,-26.320,-1.096,-2.102,-2.033,-1.746,-0.0058,-0.000
DATA,172724,0.815,0.780,-15.222,-0.121,-1.879,-1.703,-1.782,-0.0070,-0.000
DATA,172744,1.009,0.604,-6.868,-1.416,-1.910,-1.608,-1.561,-0.0097,-0.176
DATA,172764,1.683,0.604,-8.698,-3.776,-2.103,-1.809,-1.560,-0.0131,-0.176
DATA,172784,1.626,0.604,-33.942,-3.575,-1.952,-1.962,-1.864,-0.0129,-0.176
DATA,172804,1.071,0.604,-37.356,-1.633,-1.560,-1.599,-1.909,-0.0113,-0.176
DATA,172824,0.520,0.604,-41.686,0.293,-1.110,-1.278,-1.391,-0.0091,-0.176
DATA,172844,-0.163,0.780,-33.759,3.301,-0.573,-0.745,-1.306,-0.0062,-0.000
DATA,172864,-0.554,0.780,-27.173,4.669,-0.112,-0.660,-0.647,-0.0044,-0.000
DATA,172884,-0.997,0.780,-27.112,6.220,0.420,0.000,-0.337,-0.0014,-0.000
DATA,172904,-1.364,0.780,-23.698,7.502,0.963,0.000,-0.227,0.0013,0.000
DATA,172924,-1.812,0.780,-13.210,9.072,1.516,0.000,0.000,0.0035,0.000
DATA,172944,-1.870,0.780,-3.393,9.276,1.934,1.452,1.267,0.0073,0.000
DATA,172964,-2.039,0.956,-18.271,10.482,2.399,1.024,1.391,0.0110,0.176
DATA,172984,-2.331,0.956,-0.649,11.503,2.817,1.956,1.492,0.0142,0.176
DATA,173004,-2.382,0.956,16.241,11.683,3.008,2.405,2.407,0.0167,0.176
DATA,173024,-2.312,0.956,25.936,11.439,3.072,2.535,2.469,0.0182,0.176
DATA,173044,-2.052,0.956,33.924,10.528,3.012,2.489,2.653,0.0189,0.176
DATA,173064,-1.744,0.956,44.900,9.449,2.818,2.562,2.575,0.0190,0.176
DATA,173084,-1.116,0.956,43.315,7.252,2.486,2.299,2.350,0.0184,0.176
DATA,173104,-0.420,0.956,36.302,4.817,2.088,2.239,2.215,0.0177,0.176
DATA,173124,0.069,0.956,41.668,3.105,1.673,2.038,2.023,0.0168,0.176
DATA,173144,0.619,0.956,31.058,1.178,1.188,1.383,1.733,0.0153,0.176
DATA,173164,1.007,0.956,17.583,-0.178,0.741,0.885,0.952,0.0139,0.176
DATA,173184,0.913,0.956,7.583,0.149,0.530,0.735,0.506,0.0137,0.176
DATA,173204,0.764,0.956,16.485,0.673,0.314,0.357,0.374,0.0124,0.176
DATA,173224,1.039,0.956,24.900,-0.292,-0.083,0.237,0.717,0.0098,0.176
DATA,173244,1.361,0.780,21.790,-2.032,-0.521,0.177,0.454,0.0073,0.000
DATA,173264,1.955,0.780,27.705,-4.111,-1.109,0.141,0.275,0.0040,0.000
DATA,173284,2.768,0.780,13.680,-6.958,-1.774,-1.169,-1.014,0.0001,0.000
DATA,173304,3.142,0.780,22.034,-8.267,-2.389,-1.010,-1.288,-0.0048,-0.000
DATA,173324,3.391,0.604,-18.515,-9.754,-2.855,-2.227,-1.669,-0.0078,-0.176
DATA,173344,2.999,0.604,-28.271,-8.383,-3.017,-2.334,-2.351,-0.0099,-0.176
DATA,173364,2.447,0.604,-26.625,-6.450,-3.044,-2.583,-2.706,-0.0119,-0.176
DATA,173384,1.897,0.604,-28.393,-4.526,-2.957,-2.665,-2.797,-0.0137,-0.176
DATA,173404,1.364,0.604,-23.454,-2.658,-2.781,-2.725,-2.507,-0.0155,-0.176
DATA,173424,0.983,0.604,-22.417,-1.324,-2.549,-2.532,-2.573,-0.0170,-0.176
DATA,173444,0.990,0.604,-13.088,-1.349,-2.392,-2.359,-2.427,-0.0190,-0.176
DATA,173464,1.387,0.604,-14.368,-2.740,-2.356,-2.071,-2.183,-0.0210,-0.176
DATA,173484,1.111,0.604,-34.734,-1.773,-2.075,-2.070,-2.169,-0.0203,-0.176
DATA,173504,0.684,0.604,-36.442,-0.278,-1.748,-1.973,-1.679,-0.0197,-0.176
DATA,173524,0.168,0.604,-34.551,1.526,-1.303,-1.742,-1.550,-0.0182,-0.176
DATA,173544,-0.690,0.604,-35.344,4.531,-0.704,-0.782,-1.205,-0.0151,-0.176
DATA,173564,-1.239,0.604,-8.881,6.450,-0.205,-0.638,-0.871,-0.0134,-0.176
DATA,173584,-1.080,0.604,6.668,5.895,-0.088,-0.478,-0.388,-0.0144,-0.176
DATA,173604,-0.997,0.604,1.790,5.606,0.062,-0.430,-0.250,-0.0146,-0.176
DATA,173624,-0.938,0.604,1.180,5.396,0.216,-0.266,-0.184,-0.0143,-0.176
DATA,173644,-0.940,0.604,-2.112,5.404,0.407,-0.193,-0.146,-0.0136,-0.176
DATA,173664,-1.012,0.604,-4.307,5.655,0.637,-0.151,-0.121,-0.0124,-0.176
DATA,173684,-1.116,0.604,-0.893,6.022,0.870,-0.124,-0.103,-0.0114,-0.176
DATA,173704,-1.163,0.604,4.412,6.187,1.053,0.946,0.774,-0.0102,-0.176
DATA,173724,-0.793,0.604,9.778,4.891,1.092,1.281,0.679,-0.0082,-0.176
DATA,173744,-0.885,0.780,-10.649,5.826,1.348,0.471,0.345,-0.0054,-0.000
DATA,173764,-1.011,0.780,26.668,6.268,1.506,0.936,1.233,-0.0039,-0.000
DATA,173784,-0.179,0.780,16.973,3.355,1.260,1.625,1.414,-0.0030,-0.000
DATA,173804,-0.070,0.780,-13.942,2.976,1.346,0.714,0.531,-0.0003,-0.000
DATA,173824,-0.267,0.780,17.949,3.663,1.528,1.615,1.443,0.0034,0.000
DATA,173844,0.368,0.780,11.119,1.442,1.274,1.044,1.057,0.0040,0.000
DATA,173864,0.251,0.780,-14.490,1.851,1.326,0.666,1.557,0.0069,0.000
DATA,173884,-1.007,0.956,-28.454,6.869,1.825,1.893,1.062,0.0131,0.176
DATA,173904,-1.122,0.956,21.607,7.271,1.912,1.705,1.729,0.0144,0.176
DATA,173924,-1.256,0.956,4.412,7.740,2.012,1.515,1.708,0.0168,0.176
DATA,173944,-1.754,0.956,28.680,9.484,2.170,1.938,1.766,0.0184,0.176
DATA,173964,-1.217,0.956,39.473,7.606,1.966,2.247,2.189,0.0178,0.176
DATA,173984,-0.732,0.956,34.900,5.908,1.713,1.488,1.919,0.0171,0.176
DATA,174004,-0.236,0.956,37.461,4.172,1.365,1.810,1.539,0.0157,0.176
DATA,174024,0.484,0.956,33.802,1.650,0.858,1.399,1.340,0.0132,0.176
DATA,174044,0.901,0.956,7.400,0.192,0.542,1.093,0.515,0.0124,0.176
DATA,174064,0.748,0.956,-0.588,0.726,0.458,0.456,0.297,0.0126,0.176
DATA,174084,0.726,0.956,5.144,0.804,0.340,0.276,0.209,0.0119,0.176
DATA,174104,0.858,0.956,10.388,0.343,0.144,0.244,0.161,0.0104,0.176
DATA,174124,1.102,0.956,15.083,-0.510,-0.145,0.244,0.131,0.0084,0.176
DATA,174144,1.422,0.780,18.558,-2.247,-0.541,0.000,0.110,0.0059,0.000
DATA,174164,1.840,0.780,22.522,-3.711,-1.042,0.000,0.095,0.0029,0.000
DATA,174184,2.457,0.780,22.461,-5.869,-1.661,-0.417,0.000,-0.0005,-0.000
DATA,174204,2.572,0.780,7.949,-6.273,-2.188,-1.177,-1.561,-0.0046,-0.000
DATA,174224,2.679,0.604,-3.027,-7.262,-2.597,-1.751,-0.704,-0.0075,-0.176
DATA,174244,2.427,0.604,-34.186,-6.381,-2.695,-2.142,-2.165,-0.0093,-0.176
DATA,174264,1.769,0.604,-23.210,-4.077,-2.547,-2.073,-2.062,-0.0099,-0.176
DATA,174284,1.344,0.604,-19.186,-2.588,-2.384,-1.994,-2.301,-0.0109,-0.176
DATA,174304,1.518,0.604,-11.320,-3.197,-2.411,-1.957,-1.963,-0.0134,-0.176
DATA,174324,2.071,0.604,-24.734,-5.135,-2.542,-2.092,-1.764,-0.0160,-0.176
DATA,174344,1.847,0.604,-45.222,-4.350,-2.341,-2.214,-2.034,-0.0156,-0.176
DATA,174364,1.190,0.604,-41.442,-2.049,-1.921,-2.247,-2.064,-0.0140,-0.176
DATA,174384,0.462,0.604,-41.868,0.497,-1.435,-1.285,-1.862,-0.0120,-0.176
DATA,174404,-0.257,0.604,-44.734,3.013,-0.874,-1.435,-1.052,-0.0097,-0.176
DATA,174424,-0.983,0.780,-30.771,6.170,-0.202,-0.598,-0.831,-0.0065,-0.000
DATA,174444,-1.195,0.780,-2.844,6.913,0.140,-0.322,-0.525,-0.0062,-0.000
DATA,174464,-1.268,0.780,-4.734,7.169,0.410,-0.221,-0.301,-0.0061,-0.000
DATA,174484,-1.389,0.780,-7.722,7.591,0.744,-0.168,-0.210,-0.0053,-0.000
DATA,174504,-1.512,0.780,1.668,8.023,1.042,0.000,0.000,-0.0048,-0.000
DATA,174524,-1.252,0.780,10.571,7.112,1.176,0.916,0.888,-0.0037,-0.000
DATA,174544,-0.990,0.780,-7.966,6.195,1.336,0.397,0.997,-0.0019,-0.000
DATA,174564,-1.324,0.780,-2.783,7.363,1.713,1.017,0.557,0.0011,0.000
DATA,174584,-0.853,0.780,18.254,5.715,1.647,1.623,1.403,0.0020,0.000
DATA,174604,-0.394,0.780,5.449,4.110,1.573,0.646,1.258,0.0030,0.000
DATA,174624,-0.524,0.780,-19.368,4.563,1.804,1.793,0.953,0.0073,0.000
DATA,174644,-1.114,0.956,5.693,7.245,2.196,0.996,1.794,0.0119,0.176
DATA,174664,-1.311,0.956,21.119,7.933,2.196,2.120,2.332,0.0137,0.176
DATA,174684,-1.385,0.956,13.619,8.194,2.189,2.209,1.613,0.0150,0.176
DATA,174704,-1.470,0.956,24.351,8.489,2.235,1.938,1.762,0.0165,0.176
DATA,174724,-1.117,0.956,36.912,7.255,2.051,2.258,2.321,0.0165,0.176
DATA,174744,-0.551,0.956,37.034,5.274,1.699,1.625,2.165,0.0154,0.176
DATA,174764,-0.037,0.956,25.510,3.475,1.316,1.844,1.376,0.0141,0.176
DATA,174784,0.354,0.956,21.912,2.107,0.992,0.804,1.242,0.0131,0.176
DATA,174804,0.712,0.956,22.949,0.852,0.704,1.020,0.789,0.0123,0.176
